time,open,high,low,close,tick_volume,spread,real_volume
2019-04-24,7817.71,7837.21,7786.91,7823.01,95301,0,0
2019-04-25,7838.71,7864.01,7776.71,7779.51,115401,0,0
2019-04-26,7782.61,7830.91,7741.31,7821.71,140101,0,0
2019-04-29,7825.11,7854.81,7793.11,7793.31,91601,0,0
2019-04-30,7790.71,7843.81,7727.71,7838.11,184801,0,0
2019-05-01,7835.81,7855.41,7724.21,7724.31,150901,0,0
2019-05-02,7724.21,7793.81,7671.41,7727.31,241701,0,0
2019-05-03,7724.11,7861.01,7723.61,7861.01,137901,0,0
2019-05-06,7798.31,7806.41,7656.41,7738.91,240601,0,0
2019-05-07,7733.01,7793.21,7571.01,7659.01,370401,0,0
2019-05-08,7658.01,7688.01,7592.41,7631.71,164901,0,0
2019-05-09,7630.61,7635.01,7471.81,7584.31,280101,0,0
2019-05-10,7578.01,7642.71,7424.71,7599.41,414601,0,0
2019-05-13,7524.11,7540.91,7295.31,7303.51,270601,0,0
2019-05-14,7299.61,7449.61,7282.01,7415.71,219101,0,0
2019-05-15,7415.71,7526.71,7342.21,7515.71,269001,0,0
2019-05-16,7511.81,7628.41,7461.11,7590.91,255501,0,0
2019-05-17,7585.61,7607.11,7494.51,7499.41,139001,0,0
2019-05-20,7504.11,7548.21,7350.91,7393.61,284101,0,0
2019-05-21,7397.51,7474.71,7390.71,7451.71,113801,0,0
2019-05-22,7452.61,7464.61,7381.51,7416.51,130101,0,0
2019-05-23,7418.81,7424.41,7258.41,7305.31,218501,0,0
2019-05-24,7307.61,7370.51,7291.81,7303.01,152801,0,0
2019-05-27,7306.71,7329.81,7285.31,7308.81,86901,0,0
2019-05-28,7304.51,7363.41,7274.11,7283.91,158001,0,0
2019-05-29,7282.51,7288.51,7175.41,7208.21,151901,0,0
2019-05-30,7206.01,7264.01,7201.81,7247.51,82901,0,0
2019-05-31,7244.51,7249.41,7123.01,7130.71,139001,0,0
2019-06-03,7098.81,7127.31,6936.51,7004.21,287001,0,0
2019-06-04,7004.81,7182.31,6977.81,7181.31,232501,0,0
2019-06-05,7186.61,7240.81,7146.01,7227.81,148401,0,0
2019-06-06,7196.41,7293.81,7176.01,7259.11,172901,0,0
2019-06-07,7258.51,7447.51,7253.11,7422.21,225101,0,0
2019-06-10,7467.01,7574.81,7428.01,7515.51,245101,0,0
2019-06-11,7516.71,7597.61,7489.81,7515.61,214501,0,0
2019-06-12,7516.81,7528.21,7458.71,7473.61,95801,0,0
2019-06-13,7470.91,7530.91,7417.31,7506.61,191501,0,0
2019-06-14,7496.81,7519.11,7450.11,7482.41,123601,0,0
2019-06-17,7481.41,7549.01,7479.21,7538.51,82501,0,0
2019-06-18,7539.91,7692.21,7513.71,7646.71,250201,0,0
2019-06-19,7648.81,7685.51,7605.81,7670.71,137501,0,0
2019-06-20,7666.41,7794.81,7666.41,7737.81,185401,0,0
2019-06-21,7735.51,7777.21,7700.21,7722.01,140501,0,0
2019-06-24,7711.11,7769.41,7709.41,7731.61,99501,0,0
2019-06-25,7730.21,7755.71,7587.71,7610.21,216001,0,0
2019-06-26,7611.41,7696.81,7594.31,7620.81,195601,0,0
2019-06-27,7619.31,7690.81,7619.31,7662.01,100301,0,0
2019-06-28,7662.51,7703.61,7642.71,7699.71,84601,0,0
2019-07-01,7790.71,7828.81,7738.41,7770.91,161001,0,0
2019-07-02,7770.71,7821.01,7741.21,7818.51,111801,0,0
2019-07-03,7817.01,7869.71,7802.11,7865.41,86801,0,0
2019-07-04,7876.61,7884.51,7859.11,7878.91,48501,0,0
